web-scraper-order,web-scraper-start-url,rooms_area_price_raw,address_raw,price_raw,description_raw,text_raw
"1662029560-13","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","2,5 Zimmer, 71 m², CHF 1500.—","Waldistrasse 10, 8134 Adliswil, ZH","CHF 1500.—","«2.5-Zimmerwohnung in Adliswil als Zwischennutzung zu vermieten»","2,5 Zimmer, 71 m², CHF 1500.—Waldistrasse 10, 8134 Adliswil, ZH«2.5-Zimmerwohnung in Adliswil als Zwischennutzung zu vermieten»Wir vermieten per 1. Oktober eine grosszügige und helle 2 1/2- Zimmerwohnung mit grossem und sonnigem Balkon als Zwischennutzung. Die Liegenschaft wird saniert. Aussen-Sanierung beginnt bereits per August 2022. Die Küchen und Badezimmer werden ab Januar 2023 saniert. Das Mietobjekt ist wie folgt ausgestattet:- Wohnzimmer und Schlafzimmer mit Parkettboden- Grosse Küche mit Kochherd, Kühlschrank, Backofen und Geschirrspüler sowie viel Stauraum- Badezimmer mit Doppellavabo und Badewanne- Einbauschrank im Korridor und Schlafzimmer- Kellerabteil für"
"1662029560-5","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","4 Zimmer, 90 m², CHF 2030.—","Soodstrasse 13, 8134 Adliswil, ZH","CHF 2030.—","«Wohnen in Mitten von Adliswil»","4 Zimmer, 90 m², CHF 2030.—Soodstrasse 13, 8134 Adliswil, ZH«Wohnen in Mitten von Adliswil»Die charmante Wohnung verfügt über einen Laminatboden in den vier Zimmern und Korridor. Die Wände sind frisch gestrichen.Die Küche und das Bad sind mit Platten verlegt. Zudem wurden die Küche sowie das Bad im Jahr 2017 renoviert.Der Besichtigungstermin findet am Mittwoch, 31. August 2022 von 16.30 - 17.00 statt. Bitte klingeln Sie bei Derrer."
"1662029560-23","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","1 Zimmer, 22 m², CHF 770.—","Sihlmatten 6, 8134 Adliswil, ZH","CHF 770.—","«1 WG Zimmer 22'2m im grünen Adliswil mit Balkon per sofort»","1 Zimmer, 22 m², CHF 770.—Sihlmatten 6, 8134 Adliswil, ZH«1 WG Zimmer 22'2m im grünen Adliswil mit Balkon per sofort»"
"1662029560-12","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","2,5 Zimmer, 70 m², CHF 1740.—","8134 Adliswil, ZH","CHF 1740.—","«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN ADLISWIL (ZH)»","2,5 Zimmer, 70 m², CHF 1740.—8134 Adliswil, ZH«MÖBLIERT, TEMPORÄR: 2½ ZI-WOHNUNG IN ADLISWIL (ZH)»MIETDAUER ab 1. November 2022 bis 16. April 2023 (mind. 3 Monate, nach Absprache) Grosse Wohnung an zentraler Lage mit kompletter Ausstattung. 70m², 1 Schlafzimmer, in gutem Zustand, Wohnzimmer mit Parkett/Laminat, Schlafzimmer mit Parkett/Laminat, alle Wohnräume mit Linoleum. Maximal 2 Personen, Rauchen in der Wohnung nicht erlaubt. Direktlink: ums.ch/angebots-detail/57798/. Alle Angebote: ums.ch/moeblierte-wohnungen/. Ergänzende Bemerkungen zur Miete. Inkl. Heizung, Strom, Wasser, Internet, TV (inkl. Anschluss und Abo) Möblierung. Bügelbrett,"
"1662029560-3","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","3,5 Zimmer, 70 m², CHF 1950.—","Breitenstrasse 12, 8134 Adliswil, ZH","CHF 1950.—","«Ruhiges Wohnquartier am Waldrand»","3,5 Zimmer, 70 m², CHF 1950.—Breitenstrasse 12, 8134 Adliswil, ZH«Ruhiges Wohnquartier am Waldrand»*Bei den publizierten Bildern handelt es sich um eine typenähnliche Wohnung. Abweichungen zum Angebot sind daher möglich.*Per 01. Oktober 2022 vermieten wir diese schöne 3.5 Zimmer-Wohnung nahe am Waldrand mit folgendem Ausbaustandard: Wohnbereich sowie Schlafzimmer sind mit Parkettboden ausgestattet. Küche sowie Nasszellen sind mit einem Plattenboden ausgestattet Einbauschränke im Eingangsbereich moderne Küche mit Geschirrspüler und Glaskeramikherd  Kellerabteil vorhanden Lift vorhanden Zusätzlich können mehrere Tiefgaragenparkplätze für CHF 1Neu"
"1662029560-2","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","3,5 Zimmer, 95 m², CHF 3000.—","Rainstrasse 10, 8134 Adliswil, ZH","CHF 3000.—","«Luxuriöse Wohnung in Adliswil»","top3,5 Zimmer, 95 m², CHF 3000.—Rainstrasse 10, 8134 Adliswil, ZH«Luxuriöse Wohnung in Adliswil»Wir vermieten eine 3,5 Zimmer Whonung in Adliswil. Die Wohnung befindet sich im neuzustand. Sie befindet sich gleich bei der einfaht in Adliswil(mit dem Auto). Es befinden sich viele freizeit möglichkeiten in der nähe und ist einfach mit dem Zug oder Auto zu erreichen.Anbieter kontaktierenKontaktieren"
"1662029560-7","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","4,5 Zimmer, 108 m², CHF 3160.—","Salamanderweg 3, 8134 Adliswil, ZH","CHF 3160.—","«HÖFE - Ihre neue Familienoase!»","4,5 Zimmer, 108 m², CHF 3160.—Salamanderweg 3, 8134 Adliswil, ZH«HÖFE - Ihre neue Familienoase!»Die 4½-Zimmer-Wohnungen im neuen Quartier HÖFE sind das perfekte Zuhause für Familien oder Paare, die Ruhe schätzen und dennoch die Nähe zum pulsierenden Leben suchen. Die exklusive Wohnqualität und die modernen Grundrisse, sind nur einige der zahlreichen Eigenschaften, die Ihnen der Schwalbenhof bietet. Die Highlights der 4.5 Zimmer-Wohnungen. Loggien mit Sicht auf den Innenhof oder Quartierhain, teilweise sogar zwei Loggien. Grosszügige, edle Küche mit hochwertigen Geräten der Marke Miele. Grosser offener Wohn-/Essbereich. Geräume Bäder mit 1"
"1662029560-4","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","1 Zimmer, 32 m², CHF 1120.—","Rütistr. 28, 8134 Adliswil, ZH","CHF 1120.—","«Frisch sanierte Wohnung an ruhiger Lage!»","1 Zimmer, 32 m², CHF 1120.—Rütistr. 28, 8134 Adliswil, ZH«Frisch sanierte Wohnung an ruhiger Lage!»Wir vermieten diese frisch sanierte Wohnung an ruhiger und grüner Wohnlage. Die Liegenschaft wurde im Dezmeber 2019 komplett renoviert.Die Wohnung besticht durch:Wohnzimmer mit ParkettKorridor mit Parkettmodernes Bad mit Duscheabgeschlossene KücheEinbauschränkesonniger BalkonKellerabteilGaragenplatz kann dazu gemietet werdenEine Besichtigung lohnt sich! Wir freuen uns auf Ihre Kontaktaufnahme!**Bei den publizierten Bilder handelt es sich um eine typenähnliche Wohnung. Abweichungen zum effektiven Angebot sind deshalb möglich.**Anbieter kontaktierenKontaktieren"
"1662029560-11","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","1,5 Zimmer, 61 m², CHF 1960.—","Im Sihlhof 2, 8134 Adliswil, ZH","CHF 1960.—","«Wohnen im Sihlhof 2 - Singles aufgepasst!»","1,5 Zimmer, 61 m², CHF 1960.—Im Sihlhof 2, 8134 Adliswil, ZH«Wohnen im Sihlhof 2 - Singles aufgepasst!»Wir vermieten nach Vereinbarung diese moderne, möblierte 1.5 Zimmer-Wohnung in Adliswil.Hier einige Highlights der modernen Wohnung:- Movement-Möbelelemente- Offene Küche und Wohnbereich mit Electrolux Geräten- Bad mit Plattenboden, Dusche, WC und Lavabo- Parkett in den Wohn-/ Schlafräumen und in der Küche- Eigener Waschturm- Einstellplätze können dazugemietet werden (CHF 160.-/Monat)**Bilder sind nicht objektspezifisch, der Ausbaustandard ist jedoch gleich.**Haben wir Ihre Neugier geweckt? Wir freuen uns auf Ihre Anfrage!Anbieter kontaktierenKontaktieren"
"1662029560-10","https://www.immoscout24.ch/de/immobilien/mieten/ort-adliswil?pn=1","4,5 Zimmer, 105 m², CHF 2850.—","Kronenstrasse 3, 8134 Adliswil, ZH","CHF 2850.—","«Familienwohnung im Zentrum von Adliswil»","4,5 Zimmer, 105 m², CHF 2850.—Kronenstrasse 3, 8134 Adliswil, ZH«Familienwohnung im Zentrum von Adliswil»Wir vermieten per 01.10.2022 oder nach Vereinbarung eine attraktive Wohnung im Zentrum von Adliswil. Folgende Highlights überzeugen:- Offene Küche mit modernen Elektro-Geräte- Wohn- und Schlafbereich mit Parkettböden- Bad/WC mit Badewanne und Fenster- Separate Dusche/WC mit Fenster- Eigener Waschturm (Waschmaschine + Trockner)- Separtates Reduit- Sonniger Balkon- Einstellplätze können für monatlich CHF 160.00 dazugemietet werden**Bilder sind nicht objektspezifisch, der Ausbaustandard ist jedoch gleich.**Einkaufsmöglichkeiten, Ärzte und RestauraAnbieter kontaktierenKontaktieren"
