web-scraper-order;address_raw;datetime;rooms;area;luxurious;price;price_per_m2;lat;lon;bfs_number;bfs_name;pop;pop_dens;frg_pct;emp;tax_income;dist_supermarket
1662023695-433;Sunnenbergstrasse 15, 8633 Wolfhausen, ZH;17.09.2022 11:44;3.5;122;1;3180;26.07;47.25571442;8.80497551;112;Bubikon;7344;632.5581395;11.41067538;3617;79385.90434;317.1179163
1662023720-634;Blumenbergstrasse 7, 8633 Wolfhausen, ZH;17.09.2022 11:44;4;87;0;1690;19.43;47.254879;8.793745995;112;Bubikon;7344;632.5581395;11.41067538;3617;79385.90434;612.6126742
1662023745-834;8608 Bubikon, ZH;17.09.2022 11:44;3.5;92;0;2350;25.54;47.27738571;8.80030632;112;Bubikon;7344;632.5581395;11.41067538;3617;79385.90434;2269.090923
1662023701-503;8608 Bubikon, ZH;17.09.2022 11:44;3.5;130;0;2500;19.23;47.27738571;8.80030632;112;Bubikon;7344;632.5581395;11.41067538;3617;79385.90434;2269.090923
1662023745-820;Lavaterstr. 63, 8002 Zürich, ZH;17.09.2022 11:44;2.5;78;0;3760;48.21;47.36137772;8.533338547;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;349.9374209
1662023739-771;Parkring 59, 8002 Zürich, ZH;17.09.2022 11:44;5.5;195;1;6900;35.38;47.36689758;8.528817177;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;352.818683
1662023720-640;Flobotstrasse 2, 8044 Zürich, ZH;17.09.2022 11:44;2.5;59;0;2920;49.49;47.37957764;8.570284843;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;818.9852416
1662023686-384;Hinterbergstrasse 57, 8044 Zürich, ZH;17.09.2022 11:44;3;75;0;3003;40.04;47.38201523;8.556857109;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;352.7132498
1662023789-1164;Nansenstrasse 7, 8050 Zürich, ZH;17.09.2022 11:44;2.5;58;0;1780;30.69;47.41076279;8.545214653;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;33.39984271
1662023764-980;Wehntalerstrasse 223, 8057 Zürich, ZH;17.09.2022 11:44;3;52;0;1600;30.77;47.40802002;8.529781342;261;Zürich;420217;4778.994655;32.45846789;491193;82932.7377;414.0857983
